Requirement Name,Requirement Text,Requirement Verb,Requirement Noun Phrase,Activity Name,Similarity Score
F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",implement,system encryption data transmission protocol datum exchange platform ground station industry standard datum security,2.4.2 Analyze Radiation Exposure Data,0.77
F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",implement,system encryption data transmission protocol datum exchange platform ground station industry standard datum security,7.1.4 Verify Hardware Installation,0.767
F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",design,system component replacement servicing orbit % component return Earth,7.1.1 Receive and Secure Modules in Orbit,0.753
F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",design,system component replacement servicing orbit % component return Earth,2.1.5.2 Remote Monitoring of Repair Testing,0.713
F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",design,system component replacement servicing orbit % component return Earth,7.1.5 Control Antenna Position,0.713
F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",incorporate,system waste management capability ability % waste material manufacturing process,1.2.2 Analyze Production Efficiency,0.757
F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",incorporate,system waste management capability ability % waste material manufacturing process,2.1.5.2 Remote Monitoring of Repair Testing,0.753
F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",incorporate,system waste management capability ability % waste material manufacturing process,2.2.3 Distribute Power,0.752
F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,ensure,system execution manufacturing process command event,4.1.3.1 Coordinate Automated Resource Transfer,0.78
F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,ensure,system execution manufacturing process command event,7.2.1 Prepare for Software Installation/Update,0.724
F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,ensure,system execution manufacturing process command event,7.1.3 Install Hardware Modules,0.711
F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",implement,system risk management strategy hazard % mission success risk assessment reduction risk exposure % risk level % risk exposure,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.889
F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",implement,system risk management strategy hazard % mission success risk assessment reduction risk exposure % risk level % risk exposure,3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.864
F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",implement,system risk management strategy hazard % mission success risk assessment reduction risk exposure % risk level % risk exposure,3.1.1 Monitor Safety Standards (Automated safety checks),0.863
F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,enable,system experiment microgravity manufacturing operation,4.1.3.1 Coordinate Automated Resource Transfer,0.798
F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,enable,system experiment microgravity manufacturing operation,7.1.4 Verify Hardware Installation,0.777
F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,enable,system experiment microgravity manufacturing operation,7.2.4 Verify Software Installation,0.777
F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,package,system store fiber return Earth,2.2.8 Store Electrical Energy,0.743
F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,package,system store fiber return Earth,4.2.5 Store Manufactured Product,0.696
F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,package,system store fiber return Earth,6.1.3 Store Performance Data,0.679
F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",monitor,system manufacturing parameter time response time ms product quality testing quality control datum,2.1.5.2 Remote Monitoring of Repair Testing,0.829
F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",monitor,system manufacturing parameter time response time ms product quality testing quality control datum,7.1.4 Verify Hardware Installation,0.813
F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",monitor,system manufacturing parameter time response time ms product quality testing quality control datum,7.2.4 Verify Software Installation,0.813
F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,draw,system fiber preform rate,1.1.4 Draw Fiber from Preform,0.802
F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,draw,system fiber preform rate,2.2.5 Transmit Electrical Power,0.72
F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,draw,system fiber preform rate,7.1.5 Control Antenna Position,0.715
F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,support,system mission ZBLAN fiber production objective,2.1.5.2 Remote Monitoring of Repair Testing,0.829
F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,support,system mission ZBLAN fiber production objective,1.2.2 Analyze Production Efficiency,0.808
F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,support,system mission ZBLAN fiber production objective,8.2.3 Control Attitude Using Reaction Torque,0.8
C Constraints,"The system shall operate within all relevant safety standards, international guidelines, and regulations, while supporting national space exploration goals and minimizing environmental impact. It shall adhere to specified power budgets, use approved materials, ensure non-interference with other payloads, and demonstrate economic viability within defined cost and schedule constraints.",operate,system safety standard guideline regulation space exploration goal impact power budget material - interference payload viability cost schedule constraint,2.1.5.2 Remote Monitoring of Repair Testing,0.822
C Constraints,"The system shall operate within all relevant safety standards, international guidelines, and regulations, while supporting national space exploration goals and minimizing environmental impact. It shall adhere to specified power budgets, use approved materials, ensure non-interference with other payloads, and demonstrate economic viability within defined cost and schedule constraints.",operate,system safety standard guideline regulation space exploration goal impact power budget material - interference payload viability cost schedule constraint,1.2.2 Analyze Production Efficiency,0.82
C Constraints,"The system shall operate within all relevant safety standards, international guidelines, and regulations, while supporting national space exploration goals and minimizing environmental impact. It shall adhere to specified power budgets, use approved materials, ensure non-interference with other payloads, and demonstrate economic viability within defined cost and schedule constraints.",operate,system safety standard guideline regulation space exploration goal impact power budget material - interference payload viability cost schedule constraint,2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),0.816
C.12 Cost Constraints,"The system shall be developed within a budget of $2.25 billion, with a target per system cost of $465 million to ensure cost-effectiveness and financial feasibility.",develop,system budget target system cost cost effectiveness feasibility,2.1.5.2 Remote Monitoring of Repair Testing,0.869
C.12 Cost Constraints,"The system shall be developed within a budget of $2.25 billion, with a target per system cost of $465 million to ensure cost-effectiveness and financial feasibility.",develop,system budget target system cost cost effectiveness feasibility,7.2.1 Prepare for Software Installation/Update,0.814
C.12 Cost Constraints,"The system shall be developed within a budget of $2.25 billion, with a target per system cost of $465 million to ensure cost-effectiveness and financial feasibility.",develop,system budget target system cost cost effectiveness feasibility,2.2.6 Manage Electrical Power,0.812
C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,demonstrate,system return investment year capability,4.2.2 Coordinate Resource Transfers (Remote coordination),0.771
C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,demonstrate,system return investment year capability,2.1.5.2 Remote Monitoring of Repair Testing,0.736
C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,demonstrate,system return investment year capability,2.1.1 Inspect System,0.731
C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,have,system end life plan deorbiting % component,2.1.5.2 Remote Monitoring of Repair Testing,0.728
C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,have,system end life plan deorbiting % component,2.1.4 Repair System,0.708
C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,have,system end life plan deorbiting % component,8.2.3 Control Attitude Using Reaction Torque,0.696
C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,adhere,system space treaty regulation manufacturing orbit,2.3.2 Regulate System Temperature,0.848
C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,adhere,system space treaty regulation manufacturing orbit,7.2.1 Prepare for Software Installation/Update,0.839
C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,adhere,system space treaty regulation manufacturing orbit,7.1.1 Receive and Secure Modules in Orbit,0.838
C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",interfere,system payload operation host platform system,7.1.2 Prepare for Hardware Installation,0.876
C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",interfere,system payload operation host platform system,7.1.4 Verify Hardware Installation,0.85
C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",interfere,system payload operation host platform system,7.2.4 Verify Software Installation,0.85
C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",comply,system ISO Space Debris Mitigation Requirements generation debris mm lifetime end life disposal re - entry year disposal orbit perigee altitude km decay analysis,2.1.5.2 Remote Monitoring of Repair Testing,0.787
C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",comply,system ISO Space Debris Mitigation Requirements generation debris mm lifetime end life disposal re - entry year disposal orbit perigee altitude km decay analysis,2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),0.765
C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",comply,system ISO Space Debris Mitigation Requirements generation debris mm lifetime end life disposal re - entry year disposal orbit perigee altitude km decay analysis,2.1.4 Repair System,0.755
C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,use,system material process use space environment,7.1.2 Prepare for Hardware Installation,0.919
C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,use,system material process use space environment,7.1.4 Verify Hardware Installation,0.916
C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,use,system material process use space environment,7.2.4 Verify Software Installation,0.916
C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",demonstrate,system compatibility % standard objective guidance government agency NASA Exploration Goals compliance assessment interface certification,2.1.5.2 Remote Monitoring of Repair Testing,0.812
C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",demonstrate,system compatibility % standard objective guidance government agency NASA Exploration Goals compliance assessment interface certification,3.1.1.1 Conduct Autonomous Safety Inspections,0.807
C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",demonstrate,system compatibility % standard objective guidance government agency NASA Exploration Goals compliance assessment interface certification,2.1.1 Inspect System,0.791
C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,operate,system power budget host space platform,2.2.6 Manage Electrical Power,0.918
C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,operate,system power budget host space platform,2.2.9 Switch Electrical Power,0.918
C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,operate,system power budget host space platform,7.1.8 Support Platform Structure,0.894
C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,adhere,system space debris mitigation guideline,2.1.5.2 Remote Monitoring of Repair Testing,0.925
C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,adhere,system space debris mitigation guideline,7.2.1 Prepare for Software Installation/Update,0.859
C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,adhere,system space debris mitigation guideline,7.1.2 Prepare for Hardware Installation,0.824
C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,comply,system NASA safety standard operation space platform,7.1.4 Verify Hardware Installation,0.894
C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,comply,system NASA safety standard operation space platform,7.2.4 Verify Software Installation,0.894
C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,comply,system NASA safety standard operation space platform,7.1.2 Prepare for Hardware Installation,0.886
1 Mission Need,"There is a need for an orbital system to produce high-quality materials in microgravity using cutting-edge, upgradable technologies that integrate seamlessly with existing space infrastructure, operate within standard constraints, and scale production to meet increasing demand. The system must comply with international regulations, implement robust risk management, minimize environmental impact, and be compatible with standard launch vehicles. It should support national space exploration goals, enable scientific experiments, and demonstrate commercial viability through a sustainable business model with multiple revenue streams, while consistently delivering products that meet industry standards at competitive prices.",be,need system quality material microgravity cutting edge technology space infrastructure constraint scale production demand system regulation risk management impact launch vehicle space exploration goal experiment viability business model revenue stream product industry standard price,7.1.8 Support Platform Structure,0.857
1 Mission Need,"There is a need for an orbital system to produce high-quality materials in microgravity using cutting-edge, upgradable technologies that integrate seamlessly with existing space infrastructure, operate within standard constraints, and scale production to meet increasing demand. The system must comply with international regulations, implement robust risk management, minimize environmental impact, and be compatible with standard launch vehicles. It should support national space exploration goals, enable scientific experiments, and demonstrate commercial viability through a sustainable business model with multiple revenue streams, while consistently delivering products that meet industry standards at competitive prices.",be,need system quality material microgravity cutting edge technology space infrastructure constraint scale production demand system regulation risk management impact launch vehicle space exploration goal experiment viability business model revenue stream product industry standard price,2.1.5.2 Remote Monitoring of Repair Testing,0.854
1 Mission Need,"There is a need for an orbital system to produce high-quality materials in microgravity using cutting-edge, upgradable technologies that integrate seamlessly with existing space infrastructure, operate within standard constraints, and scale production to meet increasing demand. The system must comply with international regulations, implement robust risk management, minimize environmental impact, and be compatible with standard launch vehicles. It should support national space exploration goals, enable scientific experiments, and demonstrate commercial viability through a sustainable business model with multiple revenue streams, while consistently delivering products that meet industry standards at competitive prices.",be,need system quality material microgravity cutting edge technology space infrastructure constraint scale production demand system regulation risk management impact launch vehicle space exploration goal experiment viability business model revenue stream product industry standard price,2.3.2 Regulate System Temperature,0.846
